distance,dist_from_surface
3.333333333333333547e-03,1.101809050404925217e-01
5.000000000000000104e-03,1.102543083829631287e-01
6.666666666666667095e-03,1.104552426210908822e-01
8.333333333333333218e-03,1.111632611270569893e-01
1.000000000000000021e-02,1.126305045448258713e-01
1.166666666666666720e-02,1.148287855660449913e-01
1.333333333333333419e-02,1.177571717056688089e-01
1.500000000000000118e-02,1.214610717837080744e-01
1.666666666666666644e-02,1.259824122576321537e-01
1.833333333333333343e-02,1.312689561804836202e-01
2.000000000000000042e-02,1.373721489845171340e-01
2.166666666666666741e-02,1.439583306438042831e-01
2.333333333333333440e-02,1.507815778461216727e-01
2.500000000000000139e-02,1.576169140510078337e-01
2.666666666666666838e-02,1.641698820679624027e-01
2.833333333333333537e-02,1.702599681245547392e-01
3.000000000000000236e-02,1.757191533535528705e-01
3.166666666666666935e-02,1.803911370507334244e-01
3.333333333333333287e-02,1.843501862867220342e-01
3.500000000000000333e-02,1.877902143094703491e-01
3.666666666666666685e-02,1.907686557028597796e-01
3.833333333333333731e-02,1.933025720083309251e-01
4.000000000000000083e-02,1.954064031837255133e-01
4.166666666666667129e-02,1.970911705327940411e-01
4.333333333333333481e-02,1.983680993964608841e-01
4.500000000000000527e-02,1.992487756789615150e-01
4.666666666666666879e-02,1.997341316035237957e-01
4.833333333333333925e-02,1.998693464016178534e-01
5.000000000000000278e-02,2.000115160702709560e-01
5.166666666666667324e-02,2.001015470217994141e-01
5.333333333333333676e-02,2.001935804799782337e-01
5.500000000000000028e-02,2.002519410711851577e-01
5.666666666666667074e-02,2.003119936813207436e-01
5.833333333333333426e-02,2.003509011834638809e-01
6.000000000000000472e-02,2.003902790129606093e-01
6.166666666666666824e-02,2.004164868396434152e-01
6.333333333333333870e-02,2.004336995869905880e-01
6.500000000000000222e-02,2.004519501087523858e-01
6.666666666666666574e-02,2.004680973242149167e-01
6.833333333333334314e-02,2.005425197970718554e-01
7.000000000000000666e-02,2.005849397493038033e-01
7.166666666666667018e-02,2.005757022186895611e-01
7.333333333333333370e-02,2.006180046335973854e-01
7.500000000000001110e-02,2.005912397157419980e-01
7.666666666666667462e-02,2.006586599931485249e-01
7.833333333333333814e-02,2.006151641592385237e-01
8.000000000000000167e-02,2.006101342236946972e-01
8.166666666666666519e-02,2.005858826279967866e-01
8.333333333333334259e-02,2.005854787982984944e-01
8.500000000000000611e-02,2.005718564930342729e-01
8.666666666666666963e-02,2.005712399765149645e-01
8.833333333333333315e-02,2.005629310690004719e-01
9.000000000000001055e-02,2.005618506174008664e-01
9.166666666666667407e-02,2.005573261270870156e-01
9.333333333333333759e-02,2.005569243779340427e-01
9.500000000000000111e-02,2.005546350053505067e-01
9.666666666666667851e-02,2.005547501334179472e-01
9.833333333333334203e-02,2.005537828466412154e-01
1.000000000000000056e-01,2.005548606107703802e-01
1.016666666666666691e-01,2.005545203794474873e-01
1.033333333333333465e-01,2.005560765787224031e-01
1.050000000000000100e-01,2.005571107696452193e-01
1.066666666666666735e-01,2.005585070216890087e-01
1.083333333333333370e-01,2.005595030415298352e-01
1.100000000000000006e-01,2.005609068846478105e-01
1.116666666666666780e-01,2.005618752956794260e-01
1.133333333333333415e-01,2.005630351127761501e-01
1.150000000000000050e-01,2.005668967257082380e-01
1.166666666666666685e-01,2.005668830703113970e-01
1.183333333333333459e-01,2.006351609271465330e-01
1.200000000000000094e-01,2.006109569238793411e-01
1.216666666666666730e-01,2.006082645585699209e-01
1.233333333333333365e-01,2.005946168522620698e-01
1.250000000000000000e-01,2.005943062748727357e-01
1.266666666666666774e-01,2.006533725255865708e-01
1.283333333333333548e-01,2.006308195742236011e-01
1.300000000000000044e-01,2.006238118002504345e-01
1.316666666666666818e-01,2.006152961243739541e-01
1.333333333333333315e-01,2.006102504143794096e-01
1.350000000000000089e-01,2.006031359803024383e-01
1.366666666666666863e-01,2.006002107545671320e-01
1.383333333333333359e-01,2.005961277766682704e-01
1.400000000000000133e-01,2.005940858037514041e-01
1.416666666666666630e-01,2.005916258612230607e-01
1.433333333333333404e-01,2.005911034555196149e-01
1.450000000000000178e-01,2.005899021656018799e-01
1.466666666666666674e-01,2.005899848393134233e-01
1.483333333333333448e-01,2.005900213445499791e-01
1.500000000000000222e-01,2.005905739899184470e-01
1.516666666666666718e-01,2.005888879983095952e-01
1.533333333333333492e-01,2.005904932219552683e-01
1.549999999999999989e-01,2.005915718006570092e-01
1.566666666666666763e-01,2.005934258656117131e-01
1.583333333333333537e-01,2.005948966735149330e-01
1.600000000000000033e-01,2.005968009780183803e-01
1.616666666666666807e-01,2.005970085241902123e-01
1.633333333333333304e-01,2.005997489868533157e-01
1.650000000000000078e-01,2.006003108358906939e-01
1.666666666666666852e-01,2.006023826453213199e-01
1.683333333333333348e-01,2.006033258571864042e-01
1.700000000000000122e-01,2.006050875683753065e-01
1.716666666666666896e-01,2.006061727639082137e-01
1.733333333333333393e-01,2.006080240543139659e-01
1.750000000000000167e-01,2.006104250966694869e-01
1.766666666666666663e-01,2.006119782063675860e-01
1.783333333333333437e-01,2.006138917428599289e-01
1.800000000000000211e-01,2.006155293364970671e-01
1.816666666666666707e-01,2.006172764179951218e-01
1.833333333333333481e-01,2.006189649561444521e-01
1.850000000000000255e-01,2.006205437384054602e-01
1.866666666666666752e-01,2.006233202882753974e-01
1.883333333333333526e-01,2.006245335991397039e-01
1.900000000000000022e-01,2.006261155359397863e-01
1.916666666666666796e-01,2.006269874117850571e-01
1.933333333333333570e-01,2.006241594780770465e-01
1.950000000000000067e-01,2.006280789163223388e-01
1.966666666666666841e-01,2.006286049912106295e-01
1.983333333333333337e-01,2.006259972650508427e-01
2.000000000000000111e-01,2.006276116888869587e-01
2.016666666666666885e-01,2.006287279890641428e-01
2.033333333333333381e-01,2.006296179249144329e-01
2.050000000000000155e-01,2.006205793212627875e-01
2.066666666666666929e-01,2.006271461610135698e-01
2.083333333333333426e-01,2.006243169856197772e-01
2.100000000000000200e-01,2.006281691813795454e-01
2.116666666666666696e-01,2.006234678321185405e-01
2.133333333333333470e-01,2.006190903505780387e-01
2.150000000000000244e-01,2.006247506826284999e-01
2.166666666666666741e-01,2.006259469731281886e-01
2.183333333333333515e-01,2.006287850723815769e-01
2.200000000000000011e-01,2.006285833825230402e-01
2.216666666666666785e-01,2.006311843590751764e-01
2.233333333333333559e-01,2.006314008299481810e-01
2.250000000000000056e-01,2.006335696011287972e-01
2.266666666666666829e-01,2.005625019056464786e-01
2.283333333333333603e-01,2.005257370499228531e-01
2.300000000000000100e-01,2.005511268211616904e-01
2.316666666666666874e-01,2.005654980131265919e-01
2.333333333333333370e-01,2.005070813968291565e-01
2.350000000000000144e-01,2.005376196738953565e-01
2.366666666666666918e-01,2.005470610459092751e-01
2.383333333333333415e-01,2.004959963798026434e-01
2.400000000000000189e-01,2.005248971976270611e-01
2.416666666666666685e-01,2.005412737679906354e-01
2.433333333333333459e-01,2.005612620533037682e-01
2.450000000000000233e-01,2.005713885428112297e-01
2.466666666666666730e-01,2.005882692941035050e-01
2.483333333333333504e-01,2.005891776321427067e-01
2.500000000000000000e-01,2.005957585885815297e-01
2.516666666666667052e-01,2.004745691144895481e-01
2.533333333333333548e-01,2.004989556630764058e-01
2.550000000000000044e-01,2.005051520290790645e-01
2.566666666666667096e-01,2.005370828759225066e-01
2.583333333333333592e-01,2.005532547414780598e-01
2.600000000000000089e-01,2.005703862953494565e-01
2.616666666666666585e-01,2.005758311831916940e-01
2.633333333333333637e-01,2.005956844187931354e-01
2.650000000000000133e-01,2.006019165996592579e-01
2.666666666666666630e-01,2.006242710559730247e-01
2.683333333333333681e-01,2.006228472834321042e-01
2.700000000000000178e-01,2.006452008408412258e-01
2.716666666666666674e-01,2.007269295340479709e-01
2.733333333333333726e-01,2.006937532471907981e-01
2.750000000000000222e-01,2.007888901742726773e-01
2.766666666666666718e-01,2.007393919461761822e-01
2.783333333333333770e-01,2.008230352922954209e-01
2.800000000000000266e-01,2.007609857501617689e-01
2.816666666666666763e-01,2.007894162433695173e-01
2.833333333333333259e-01,2.007987983435106649e-01
2.850000000000000311e-01,2.008462759123425811e-01
2.866666666666666807e-01,2.008124975563506942e-01
2.883333333333333304e-01,2.007796365248971371e-01
2.900000000000000355e-01,2.007465005772369748e-01
2.916666666666666852e-01,2.007283443957124658e-01
2.933333333333333348e-01,2.007093332165572896e-01
2.950000000000000400e-01,1.986676866710565537e-01
2.966666666666666896e-01,2.009593540976437054e-01
2.983333333333333393e-01,2.011243525439332103e-01
3.000000000000000444e-01,1.979088718159886795e-01
3.016666666666666941e-01,2.004744601229708489e-01
3.033333333333333437e-01,1.957776218383240341e-01
3.049999999999999933e-01,1.983577859530537835e-01
3.066666666666666985e-01,2.008216485920350514e-01
3.083333333333333481e-01,1.957801892062898674e-01
3.099999999999999978e-01,1.982508690341000246e-01
3.116666666666667029e-01,1.937666358149879586e-01
3.133333333333333526e-01,1.969190645632256931e-01
3.150000000000000022e-01,1.999267954764441524e-01
3.166666666666667074e-01,1.951338366992947659e-01
3.183333333333333570e-01,1.979904540886153197e-01
3.200000000000000067e-01,1.948989361599500758e-01
3.216666666666667118e-01,1.966822343488602853e-01
3.233333333333333615e-01,1.997841793734818905e-01
3.250000000000000111e-01,1.950012668972080088e-01
3.266666666666666607e-01,1.979789197541318990e-01
3.283333333333333659e-01,2.008804583178859238e-01
3.300000000000000155e-01,1.958161466437815801e-01
3.316666666666666652e-01,1.985931357027243827e-01
3.333333333333333703e-01,1.939710817539594401e-01
3.350000000000000200e-01,1.962581795737967927e-01
3.366666666666666696e-01,2.006210770643804542e-01
3.383333333333333748e-01,1.958819994797880715e-01
3.400000000000000244e-01,1.990367693366814905e-01
3.416666666666666741e-01,1.944504713205180702e-01
3.433333333333333792e-01,1.976508874388571146e-01
3.450000000000000289e-01,2.008146252559708800e-01
3.466666666666666785e-01,1.957949348018812874e-01
3.483333333333333282e-01,1.987811434568499680e-01
3.500000000000000333e-01,1.941481833492958164e-01
3.516666666666666829e-01,1.974952572920937455e-01
3.533333333333333326e-01,2.007585805117742817e-01
3.550000000000000377e-01,1.958243621568405146e-01
3.566666666666666874e-01,1.989230402825803712e-01
3.583333333333333370e-01,1.943270142248183785e-01
3.600000000000000422e-01,1.977107207475602701e-01
3.616666666666666918e-01,2.010032253871655572e-01
3.633333333333333415e-01,1.960556856770804823e-01
3.650000000000000466e-01,1.974487454637180728e-01
3.666666666666666963e-01,1.949687384622956488e-01
3.683333333333333459e-01,1.988101011880429592e-01
3.700000000000000511e-01,2.024043995345659597e-01
3.716666666666667007e-01,1.976119779791467579e-01
3.733333333333333504e-01,2.000128362997991571e-01
3.750000000000000000e-01,1.936145008906490217e-01
3.766666666666667052e-01,1.996330449314347999e-01
3.783333333333333548e-01,2.027947478829462968e-01
3.800000000000000044e-01,1.975663198463658010e-01
3.816666666666667096e-01,1.982057069499087165e-01
3.833333333333333592e-01,2.037684324665841873e-01
3.850000000000000089e-01,1.989307611904860829e-01
3.866666666666667140e-01,2.021193519905696012e-01
3.883333333333333637e-01,1.973382871147307815e-01
3.900000000000000133e-01,1.948946605885583661e-01
3.916666666666667185e-01,2.034442946453689227e-01
3.933333333333333681e-01,2.001465657608330340e-01
3.950000000000000178e-01,2.014783608546279747e-01
3.966666666666666674e-01,1.983569290206196323e-01
3.983333333333333726e-01,1.990683503371987462e-01
4.000000000000000222e-01,1.993213697652821137e-01
4.016666666666666718e-01,1.974456132331712521e-01
4.033333333333333770e-01,1.980730535904882128e-01
4.050000000000000266e-01,1.985613882830498389e-01
4.066666666666666763e-01,1.969472457113400909e-01
4.083333333333333814e-01,1.977258954942889557e-01
4.100000000000000311e-01,1.963693660909982541e-01
4.116666666666666807e-01,1.972283348737252084e-01
4.133333333333333859e-01,1.979132834060150503e-01
4.150000000000000355e-01,1.966060924995300663e-01
4.166666666666666852e-01,1.974653021978882150e-01
4.183333333333333348e-01,1.963245536067294572e-01
4.200000000000000400e-01,1.972243407853693509e-01
4.216666666666666896e-01,1.979075379781417288e-01
4.233333333333333393e-01,1.967609282045034436e-01
4.250000000000000444e-01,1.975796190316319589e-01
4.266666666666666941e-01,1.965744520428621966e-01
4.283333333333333437e-01,1.974402200362221083e-01
4.300000000000000488e-01,1.980837544794209482e-01
4.316666666666666985e-01,1.970606347981233852e-01
4.333333333333333481e-01,1.978059998978657641e-01
4.350000000000000533e-01,1.983586715313567506e-01
4.366666666666667029e-01,1.973506626275282339e-01
4.383333333333333526e-01,1.980282291966533048e-01
4.400000000000000022e-01,1.971711272952045846e-01
4.416666666666667074e-01,1.978943134440762641e-01
4.433333333333333570e-01,1.984150411162619310e-01
4.450000000000000067e-01,1.975723282586382967e-01
4.466666666666667118e-01,1.981936435743324731e-01
4.483333333333333615e-01,1.974810266880202003e-01
4.500000000000000111e-01,1.981277680866956326e-01
4.516666666666667163e-01,1.985950776880358593e-01
4.533333333333333659e-01,1.978891923297858846e-01
4.550000000000000155e-01,1.984335545467542927e-01
4.566666666666667207e-01,1.978469148570455582e-01
4.583333333333333703e-01,1.984068646020200055e-01
4.600000000000000200e-01,1.988097992279176940e-01
4.616666666666666696e-01,1.982418143982461745e-01
4.633333333333333748e-01,1.987071750147361426e-01
4.650000000000000244e-01,1.982489411198834484e-01
4.666666666666666741e-01,1.987314196435433222e-01
4.683333333333333792e-01,1.990662169422499073e-01
4.700000000000000289e-01,1.986547584637319563e-01
4.716666666666666785e-01,1.990343702344959664e-01
4.733333333333333837e-01,1.987042777664669302e-01
4.750000000000000333e-01,1.990939541744880525e-01
4.766666666666666829e-01,1.993558260218231959e-01
4.783333333333333881e-01,1.990745425370994137e-01
4.800000000000000377e-01,1.993643683708723191e-01
4.816666666666666874e-01,1.991574062426202385e-01
4.833333333333333370e-01,1.994392371544934373e-01
4.850000000000000422e-01,1.996307243270205589e-01
4.866666666666666918e-01,1.994705085724163829e-01
4.883333333333333415e-01,1.996729383845491090e-01
4.900000000000000466e-01,1.995691965888041208e-01
4.916666666666666963e-01,1.997278349252357699e-01
4.933333333333333459e-01,1.998396478092668294e-01
4.950000000000000511e-01,1.997904670149578954e-01
4.966666666666667007e-01,1.998891477776498782e-01
4.983333333333333504e-01,1.999152424020841090e-01
5.000000000000000000e-01,1.999750992452756226e-01
5.016666666666667052e-01,2.000027422516147957e-01
5.033333333333334103e-01,2.000245286182977811e-01
5.050000000000000044e-01,2.000624075505639810e-01
5.066666666666667096e-01,2.001395734566923934e-01
5.083333333333334147e-01,2.001473809625090028e-01
5.100000000000000089e-01,2.001522796446677799e-01
5.116666666666667140e-01,2.002997597311766687e-01
5.133333333333334192e-01,2.002673920988387313e-01
5.150000000000000133e-01,2.004803444604465468e-01
5.166666666666667185e-01,2.003807559375246350e-01
5.183333333333333126e-01,2.003067223429804145e-01
5.200000000000000178e-01,2.006016004858251212e-01
5.216666666666667229e-01,2.004965916136964010e-01
5.233333333333333171e-01,2.008366031131686991e-01
5.250000000000000222e-01,2.006767168804582946e-01
5.266666666666667274e-01,2.005550785367061772e-01
5.283333333333333215e-01,2.009709061304246203e-01
5.300000000000000266e-01,2.007708061537896160e-01
5.316666666666667318e-01,2.012205233932975457e-01
5.333333333333333259e-01,2.009695451658487231e-01
5.350000000000000311e-01,2.007789697893384573e-01
5.366666666666667362e-01,2.013231004185175310e-01
5.383333333333333304e-01,2.010525724276138460e-01
5.400000000000000355e-01,2.016128911645951038e-01
5.416666666666667407e-01,2.012770071604484956e-01
5.433333333333333348e-01,2.010157888457225484e-01
5.450000000000000400e-01,2.016799347747418314e-01
5.466666666666667451e-01,2.013344805748459865e-01
5.483333333333333393e-01,2.015105468032951930e-01
5.500000000000000444e-01,2.002162348988322516e-01
5.516666666666667496e-01,2.001000448886402217e-01
5.533333333333333437e-01,1.983559406185710638e-01
5.550000000000000488e-01,1.982442653573905644e-01
5.566666666666667540e-01,1.986226128326438467e-01
5.583333333333333481e-01,1.969364727031219509e-01
5.600000000000000533e-01,1.975678154870799952e-01
5.616666666666666474e-01,1.981241221508763806e-01
5.633333333333333526e-01,1.966118624756415245e-01
5.650000000000000577e-01,1.973501878060787140e-01
5.666666666666666519e-01,1.979758110344119193e-01
5.683333333333333570e-01,1.965872317605234787e-01
5.700000000000000622e-01,1.973445577170300225e-01
5.716666666666666563e-01,1.973495500689756987e-01
5.733333333333333615e-01,1.968078660290987769e-01
5.750000000000000666e-01,1.975255760065098287e-01
5.766666666666666607e-01,1.969037879068890884e-01
5.783333333333333659e-01,1.971579914800698774e-01
5.800000000000000711e-01,1.977994896104130207e-01
5.816666666666666652e-01,1.967828219214800833e-01
5.833333333333333703e-01,1.974912804038579661e-01
5.850000000000000755e-01,1.980649729739844545e-01
5.866666666666666696e-01,1.970792753324255298e-01
5.883333333333333748e-01,1.977159392237094748e-01
5.900000000000000799e-01,1.982628147725311873e-01
5.916666666666666741e-01,1.973202666972971031e-01
5.933333333333333792e-01,1.978943503467712750e-01
5.950000000000000844e-01,1.984182789673541170e-01
5.966666666666666785e-01,1.975318812023192094e-01
5.983333333333333837e-01,1.980824883535889924e-01
6.000000000000000888e-01,1.979994393346260206e-01
6.016666666666666829e-01,1.978435698432210732e-01
6.033333333333333881e-01,1.983338273032206611e-01
6.050000000000000933e-01,1.977365582199479277e-01
6.066666666666666874e-01,1.982202628640522546e-01
6.083333333333333925e-01,1.986325179085542958e-01
6.099999999999999867e-01,1.980663827432680157e-01
6.116666666666666918e-01,1.984688316595013269e-01
6.133333333333333970e-01,1.988495325195229479e-01
6.149999999999999911e-01,1.983279287694770521e-01
6.166666666666666963e-01,1.986739826423794264e-01
6.183333333333334014e-01,1.990204831650042028e-01
6.199999999999999956e-01,1.985645919704027429e-01
6.216666666666667007e-01,1.988680452290016720e-01
6.233333333333334059e-01,1.991691367097086218e-01
6.250000000000000000e-01,1.987696572785702664e-01
6.266666666666667052e-01,1.990369896806254701e-01
6.283333333333334103e-01,1.988445727175338629e-01
6.300000000000000044e-01,1.990556176493075702e-01
6.316666666666667096e-01,1.992676746742309546e-01
6.333333333333334147e-01,1.991169930134109867e-01
6.350000000000000089e-01,1.992524533837121692e-01
6.366666666666667140e-01,1.994376229443793336e-01
6.383333333333334192e-01,1.993378669783391066e-01
6.400000000000000133e-01,1.994211561391115717e-01
6.416666666666667185e-01,1.995826981657366772e-01
6.433333333333334236e-01,1.995472933982588848e-01
6.450000000000000178e-01,1.996029364817121232e-01
