x,y
6.666666666666667407e-01,3.233799544868210668e-02
6.733333333333333393e-01,3.371620971902174885e-02
6.800000000000000488e-01,3.762135082361842131e-02
6.866666666666667584e-01,3.974462948875206320e-02
6.933333333333333570e-01,4.208595085570912553e-02
7.000000000000000666e-01,4.605305425880240611e-02
7.066666666666666652e-01,4.681136866180651834e-02
7.133333333333333748e-01,4.705517050042178767e-02
7.200000000000000844e-01,4.713246755504527097e-02
7.266666666666666829e-01,4.726035879624870817e-02
7.333333333333333925e-01,4.724136056252294102e-02
7.400000000000001021e-01,4.716260707325028306e-02
7.466666666666667007e-01,4.731448578887973572e-02
7.533333333333334103e-01,4.737894095395807359e-02
7.600000000000000089e-01,4.749401040877393454e-02
7.666666666666667185e-01,4.749192759408842057e-02
7.733333333333334281e-01,4.752431300178591722e-02
7.800000000000000266e-01,4.756898427913335003e-02
7.866666666666667362e-01,4.788590610421909755e-02
7.933333333333333348e-01,4.874539957302786997e-02
8.000000000000000444e-01,4.976485905001944848e-02
8.066666666666667540e-01,5.066832420284493599e-02
8.133333333333333526e-01,5.166145315409691879e-02
8.200000000000000622e-01,5.440273084577080392e-02
8.266666666666667718e-01,5.599186211106814415e-02
8.333333333333333703e-01,5.767611385568802845e-02
8.400000000000000799e-01,6.119483768167451737e-02
8.466666666666666785e-01,6.347426729716833249e-02
8.533333333333333881e-01,6.557634559533379037e-02
8.600000000000000977e-01,6.926241412087810745e-02
8.666666666666666963e-01,7.263875944072872848e-02
8.733333333333334059e-01,7.495587789513286081e-02
8.800000000000000044e-01,7.785671357382517588e-02
8.866666666666667140e-01,8.234281266368470575e-02
8.933333333333334236e-01,8.469774995647305627e-02
9.000000000000000222e-01,8.758608560277415800e-02
9.066666666666667318e-01,9.105938922924433632e-02
9.133333333333334414e-01,9.454816278815333930e-02
9.200000000000000400e-01,9.735374830206783292e-02
9.266666666666667496e-01,1.005122819520526956e-01
9.333333333333333481e-01,1.035017803360870486e-01
9.400000000000000577e-01,1.057519204525229628e-01
9.466666666666667673e-01,1.083681939509705261e-01
9.533333333333333659e-01,1.112254805374977840e-01
9.600000000000000755e-01,1.133850424008075036e-01
9.666666666666666741e-01,1.152770764797196451e-01
9.733333333333333837e-01,1.175206412284194174e-01
9.800000000000000933e-01,1.201617601310920325e-01
9.866666666666666918e-01,1.217518986217003829e-01
