x,y
1.758333333333333415e-01,6.917113490635758057e-04
1.766666666666666663e-01,6.914451158421925595e-04
1.775000000000000189e-01,6.942099655321987833e-04
1.783333333333333437e-01,6.981652912311033009e-04
1.791666666666666685e-01,7.021751424950091513e-04
1.800000000000000211e-01,7.060237931300234219e-04
1.808333333333333459e-01,7.067120022022348874e-04
1.816666666666666707e-01,7.075091131324136393e-04
1.825000000000000233e-01,7.101981463227434108e-04
1.833333333333333481e-01,7.122809689011042359e-04
1.841666666666666730e-01,7.144917581600204824e-04
1.850000000000000255e-01,7.174587722067010632e-04
1.858333333333333504e-01,7.207475802003970476e-04
1.866666666666666752e-01,7.223597884873128767e-04
1.875000000000000000e-01,7.202270453082070976e-04
1.883333333333333526e-01,7.183769831802310846e-04
1.891666666666666774e-01,7.163416006881976467e-04
1.900000000000000022e-01,7.130098029960152926e-04
1.908333333333333548e-01,7.119222475364101301e-04
1.916666666666666796e-01,7.135830215181590552e-04
1.925000000000000044e-01,7.136881244267438392e-04
1.933333333333333570e-01,7.123426525966729131e-04
1.941666666666666818e-01,7.127737929904987739e-04
1.950000000000000067e-01,7.145464172537039586e-04
1.958333333333333592e-01,7.138614062563743406e-04
1.966666666666666841e-01,7.128670042829851573e-04
1.975000000000000089e-01,7.138647817171466696e-04
1.983333333333333337e-01,7.163494855531229045e-04
1.991666666666666863e-01,7.164430727792830186e-04
2.000000000000000111e-01,7.156774195711351717e-04
2.008333333333333359e-01,7.166050104495462177e-04
2.016666666666666885e-01,7.189815622722470385e-04
2.025000000000000133e-01,7.190931173916520307e-04
2.033333333333333381e-01,7.193533111379452104e-04
2.041666666666666907e-01,7.187582226806110437e-04
2.050000000000000155e-01,7.179967187345150884e-04
2.058333333333333404e-01,7.186333874536391482e-04
2.066666666666666929e-01,7.193507739833138572e-04
2.075000000000000178e-01,7.208070879351864343e-04
2.083333333333333426e-01,7.221274075395551963e-04
2.091666666666666674e-01,7.211948171973204267e-04
2.100000000000000200e-01,7.199365521278628657e-04
2.108333333333333448e-01,7.206027703378871038e-04
2.116666666666666696e-01,7.225575101149974170e-04
2.125000000000000222e-01,7.251288503734025677e-04
